<Name>	Online Status	Long Description	Long Description MM	Marketing Text MM	Short Description	Short Description MM
1356801 DN-X 1600 MIXER	ACTIVE		"<body>Der Digital DJ Mixer DN-X1600 basiert technisch auf dem Grundkonzept des High End Flagschiff DN-X1700 und glänzt daher mit einigen vergleichbaren Spezifikationen und Leistungswerten. Der DN-X1600 ist mit hochwertigen ALPS® - Kanalfadern und flexiblen USBAnschlussmöglichkeiten (Windows®- und Mac OS®-kompatibel) ausgestattet. Die Eingangsmatrix mit DVS-Modus erspart externe Interfaces beim Einsatz von timecodebasierter Software. Hinzu kommen die interne digitale Signalverarbeitung im 32-Bit-Format, ein enorm erweiterter MIDIFunktionsumfang für die Ansteuerung gängiger DJ-Programme, ein erhöhter Bedienkomfort und Digital-Effekte mit besten Klangeigenschaften. Außerdem ist der DN-X1600 der erste DJ-Mixer, der das V-LINK™ - Protokoll von ROLAND® zur Synchronisation von Video- und Audio-Signalen für VJ-Anwendungen unterstützt.</body>

-<body> Digitaler DJ-Mixer mit 4 Kanälen sowie professionellen Komponenten und Spezifikationen</body>
<body> TRAKTOR® SCRATCH zertifiziert - 32-Bit - Fließkomma DSP zur internen Signalverarbeitung, A/D-Wandlung für die Ausgänge in 32-Bit Auflösung - USB2.0-Audioschnittstelle im 24-Bit/96kHz-Format (Soundkarte), 4 Ein- und 4 Ausgänge (Stereo) - Windows®- und Mac OS®-kompatibel - ASIO-Treiber 32/64-Bit für PC = minimale Latenz: im Lieferumfang enthalten - DVS-Modus erspart externe Interfaces beim Einsatz von timecodebasierter Software - USB – MIDI Ein- und Ausgang, plus 5-Pin MIDI OUT - 4 MIDI-Parameterregler und 4 MIDI-Layer-Tasten erlauben das Mapping von zusätzlichen Funktionen - Simultansteuerung auf zwei Ebenen: MIDI und Audio - Separater Effektprozessor mit 14 Effekttypen: Delay, Echo, Trans, Flanger, Filter, Phaser, Reverb, Echo Reverb, Loop, Rev. Loop, Pitch Shift, PingPong Delay, Beat Scratch, BeatBreaker, Send/Return - V-LINK™ - Unterstützung zur Synchronisation von Video- und Audio-Signalen über V-4/V-8™ von EDIROL® - 2-Wege-Filter mit Parametern (LPF/HPF) - Separate Effektschaltung für die Kanäle, Mikrofone und die Master-Summe - Eingangsquellen-Matrix für freie Zuordnung der Eingänge zu den Kanalfadern, USB-Audio schaltbar, Digital-Ausgang - Separater FET-Vorverstärker für die 3 Phono-Eingänge - Separater Mikrofonschaltkreis in Studioqualität - Separater Kopfhörerverstärker in Studioqualität - 45mm FlexFader™ Cross-Fader, mechanisch justierbar mit stufenloser CrossFader-Kontur -  ALPS® - Kanalfader (60mm) mit stufenloser ChannelFader-Kontur - Fader Start Ausgänge (alle Kanäle) -  CrossFader Start - definierbare Funktion des Crossfaders: A, B, THRU -  Separate 3-Band-Isolator EQs (High, Mid, Low) mit “Full Kill”- Funktion</body>"		Professioneller, digitaler 4-Kanal Mixer mit intregiertem 24 Bit / 96 kHz Interface	
1343980 223373 PLAY USB AUDIO-INTERFACE	ACTIVE		Mit diesem kleinen aber feinen Interface präsentiert Reloop eine der kleinsten DJ-Soundkarten, die es auf dem Markt gibt - mit überragender 24-Bit Soundqualität. Spezielle Hi-Gain Ausgänge sorgen dabei für extrem druckvollen Clubsound der durch die USB 2.0 ASIO/CORE-Treiber Technologie für niedrigste Latenzen beim digitalen Auflegen sorgt. Reloop Play bietet dank seiner durchdachten Anschlussmöglichkeiten zwei Play Modes. Zum einen gibt es den External Mixer Mode: Hier ist es möglich zwei getrennte Stereo-Kanäle auf ein externes Mischpult zu routen ? dieser Modus wird professionelle Traktor-User freuen. Der zweite Modus ist der sogenannte Controller Mode: In diesem Fall wird ein Master-Ausgang zur Anlage geroutet und ein Kopfhörer kann direkt am Interface angeschlossen werden ? dieser Modus ist besonders für Laptop-DJs ohne weitere Hardware geeignet. Die Lautstärke beider Stereo-Kanäle lässt sich komfortabel durch getrennte Regler justieren. Die Signal Status-LEDs ermöglichen dazu eine visuelle Überwachung, so dass stets immer alles im Blick und unter Kontrolle bleibt. Klein, professionell und immer dabei: Plug&Play		223373 PLAY USB AUDIO-INTERFACE	
1343960 223010 RMP-2760 USB	ACTIVE		Bei diesem Gerät handelt es sich um eine weiterentwickelte Version des überaus beliebten Club Players aus der RMP-Serie von Reloop. Neben den umfangreichen Bedienmöglichkeiten, wie sie schon vom RMP-2760 b bekannt sind, voller MP3-Kompatibilität und der aufgeräumten und übersichtlichen Bedienoberfläche, gibt es, typisch Reloop, eine wichtige Neuerung. Der USB 2.0-Anschluss ermöglicht es, externe Festplatten oder USB-Sticks anzuschließen, um somit MP3-Tracks direkt vom Speichermedium aus abzuspielen. Somit erspart man sich das lästige Herumschleppen von MP3-CDs. Dank der beleuchteten Tasten und der extrem hellen Farbdisplays ist das Handling ein Kinderspiel und wird auch höchsten Mixing- und Clubanforderungen gerecht.		Professioneller Doppel-CD-Player mit MP3-Kompatibilität	
1388753 RX-V 371 TITAN	ACTIVE		"<header>Ein AV-Receiver der Extraklasse zum Einstiegspreis!</header>



<body>1080p-kompatible HDMI-Anschlüsse (4 Eingänge/1 Ausgang) mit 3D-Fähigkeit, ARC (Audio Return Channel), HD Audio mit CINEMA DSP, Yamaha YPAO Einmesssystem und SCENE-Tasten für eine schnelle und einfache Bedienung.</body>"		RX-V 371 TITAN	
1379463 TX-NR 609 S SILBER	ACTIVE		"<body>In dem Marktsegment, das u?berragende Funktionalität mit Bezahlbarkeit verbindet, du?rfte der TX-NR609 ein weiterer Klassiker von Onkyo
werden. Dieser AV Receiver ist THX® Select2 Plus™-zertifiziert und gibt die Inhalte Ihrer diskbasierten Medien sowie Audioinhalte aus
Internet, vom iPod/iPhone und PC u?ber Netzwerk wieder. Sechs HDMI®-Eingänge (einer davon auf der Vorderseite) bieten Unterstu?tzung fu?r
3D Videos und ultrahochauflösende 4K Videoskalierung mit Marvell Qdeo™. HDMI erlaubt auch Audioformate in Master-Qualität von Dolby
und DTS sowie den erweiterten Surround-Klang von Audyssey DSX™ und Dolby® Pro Logic® IIz. Die dreistufige, invertierte Darlington-
Schaltung und die von Onkyo entwickelte WRAT-Technologie sorgen fu?r eine klare und u?berzeugende Verstärkerleistung. Bei der Ausgabe
von Audiosignalen sorgt die 7.2 Kanal-Konfiguration mit zwei Subwoofer-Vorverstärkerausgängen fu?r zusätzliche Basseffekte. Über eine
benutzerfreundliche Bildschirmanzeige können Sie problemlos Einstellungen anpassen und in Ihren Inhalten navigieren. Dies sind nur einige der
Eigenschaften, die den-TX NR609 zur besten Wahl fu?r einen qualitätsbewussten Heimkinofan machen.</body>"		TX-NR 609 S SILBER	
1373962 TX-SR 309 B SCHWARZ	ACTIVE	Wir haben es uns zur Aufgabe gemacht, Home Entertainment-Systeme auf jedem Niveau mit einem hochwertigen Klangsystem auszustatten. Daher ist Onkyo stolz auf den TX-SR309 – einen AV Receiver für Einsteiger, der sich sofort in Ihr bestehendes System integrieren lässt. Dank der neuen Overlay-Bildschirmanzeige sind Einrichtung und Anpassungen ein Kinderspiel. Neu auf diesem Niveau ist auch die PLL-Schaltung zur Bereinigung von Taktungenauigkeiten, mit deren Hilfe sich Verzerrungen spürbar reduzieren lassen. Weiterhin bietet die Gerätefront nun einen USB-Anschluss, der für eine qualitativ hochwertige Verbindung Ihres iPod/iPhone sorgt. Um Ihre komprimierten Audiodateien bestmöglich wiederzugeben, setzt der TX-SR309 den von Onkyo entwickelten Advanced Music Optimizer ein. Natürlich kann der Receiver auch hochauflösende, verlustfreie Audiodateien in den Formaten Dolby® TrueHD und DTS-HD Master AudioTM wiedergeben. Diese werden von drei HDMI®-Eingängen verarbeitet, die auch eindrucksvolle 3D-Videoinhalte unterstützen. Ob Sie 3D-Spiele spielen oder nicht, Sie können aus vier angepassten Audiomodi denjenigen auswählen, der zu Ihrem Spiel passt. All diese herausragenden Eigenschaften zusammen machen den TX-SR309 zu einem äußerst attraktiven Angebot.			TX-SR 309 B SCHWARZ	
1388755 RX-V 471 TITAN	ACTIVE	5.1-Kanal AV-Receiver mit 5 HDMI-Anschlüssen (4 Eingänge/1 Ausgang, 3D und ARC). Am Frontpanel befindet sich ein digitaler USB-Port zum Anschluss des iPods/iPhones. Weitere integrierte Funktionen sind die HD Audio Dekodierung mit CINEMA DSP 3D, das Yamaha YPAO Einmessystem und die SCENE-Tasten zur einfachen und schnellen Bedienung.			RX-V 471 TITAN	
1373961 TX-SR 309 S SILBER	ACTIVE		<body>Wir haben es uns zur Aufgabe gemacht, Home Entertainment-Systeme auf jedem Niveau mit einem hochwertigen Klangsystem auszustatten. Daher ist Onkyo stolz auf den TX-SR309 – einen AV Receiver fu?r Einsteiger, der sich sofort in Ihr bestehendes System integrieren la?sst. Dank der neuen Overlay-Bildschirmanzeige sind Einrichtung und Anpassungen ein Kinderspiel. Neu auf diesem Niveau ist auch die PLL-Schaltung zur Bereinigung von Taktungenauigkeiten, mit deren Hilfe sich Verzerrungen spu?rbar reduzieren lassen. Weiterhin bietet die Gera?tefront nun einen USB-Anschluss, der fu?r eine qualitativ hochwertige Verbindung Ihres iPod/iPhone sorgt. Um Ihre komprimierten Audiodateien bestmo?glich wiederzugeben, setzt der TX-SR309 den von Onkyo entwickelten Advanced Music Optimizer ein. Natu?rlich kann der Receiver auch hochauflo?sende, verlustfreie Audiodateien in den Formaten Dolby® TrueHD und DTS-HD Master AudioTM wiedergeben. Diese werden von drei HDMI®-Einga?ngen verarbeitet, die auch eindrucksvolle 3D-Videoinhalte unterstu?tzen. Ob Sie 3D-Spiele spielen oder nicht, Sie ko?nnen aus vier angepassten Audiomodi denjenigen auswa?hlen, der zu Ihrem Spiel passt. All diese herausragenden Eigenschaften zusammen machen den TX-SR309 zu einem a?ußerst attraktiven Angebot.</body>		TX-SR 309 S SILBER	
1379457 TX-NR 509 B SCHWARZ	ACTIVE	Als Neuerung im Einsteigerbereich sorgt die Netzwerkfähigkeit des TX‑NR509 für den nächsten Schritt hin zu einem vollständig integrierten Home Entertainment-System. Sowohl Audiodateien auf Ihrem Computer als auch Internet-Radio-Streams können jetzt über Ihr Hauptsystem wiedergegeben werden. Die Klangtreue übertrifft bei Weitem die eines PC. Bei der Einrichtung des TX‑NR509 wird die Klangbühne dank Audyssey 2EQ® an die individuellen Abmessungen Ihres Raumes angepasst. Dank der benutzerfreundlichen halbtransparenten Bildschirmanzeige sind unmittelbare Anpassungen der Audio- und Videoeinstellungen ein Kinderspiel. Die vier erweiterten HDMI®-Eingänge des Receivers erlauben die Wiedergabe von hochauflösenden Audiodateien in den Formaten Dolby und DTS sowie von beeindruckenden 3D‑Videos. Zu den weiteren herausragenden Anschlussmöglichkeiten zählen ein USB-Port an der Gerätefront für den verlustfreien, digitalen Anschluss von iPod/iPhone und USB-Speichern. Und über die Zone 2-Line-Ausgänge können Sie ein Stereo-Audiosignal an einen zweiten Raum senden, in dem Verstärker und Lautsprecher vorhanden sind. In der Gesamtheit bietet der TX‑NR509 dem qualitätsbewussten Heimkinofan einen beeindruckenden Funktionsumfang.			TX-NR 509 B SCHWARZ	
1379455 TX-NR 509 S SILBER	ACTIVE	Als Neuerung im Einsteigerbereich sorgt die Netzwerkfähigkeit des TX‑NR509 für den nächsten Schritt hin zu einem vollständig integrierten Home Entertainment-System. Sowohl Audiodateien auf Ihrem Computer als auch Internet-Radio-Streams können jetzt über Ihr Hauptsystem wiedergegeben werden. Die Klangtreue übertrifft bei Weitem die eines PC. Bei der Einrichtung des TX‑NR509 wird die Klangbühne dank Audyssey 2EQ® an die individuellen Abmessungen Ihres Raumes angepasst. Dank der benutzerfreundlichen halbtransparenten Bildschirmanzeige sind unmittelbare Anpassungen der Audio- und Videoeinstellungen ein Kinderspiel. Die vier erweiterten HDMI®-Eingänge des Receivers erlauben die Wiedergabe von hochauflösenden Audiodateien in den Formaten Dolby und DTS sowie von beeindruckenden 3D‑Videos. Zu den weiteren herausragenden Anschlussmöglichkeiten zählen ein USB-Port an der Gerätefront für den verlustfreien, digitalen Anschluss von iPod/iPhone und USB-Speichern. Und über die Zone 2-Line-Ausgänge können Sie ein Stereo-Audiosignal an einen zweiten Raum senden, in dem Verstärker und Lautsprecher vorhanden sind. In der Gesamtheit bietet der TX‑NR509 dem qualitätsbewussten Heimkinofan einen beeindruckenden Funktionsumfang.			TX-NR 509 S SILBER	
1388757 RX-V 571 SCHWARZ	ACTIVE	Am Frontpanel finden Sie einen digitalen USB-Port für den Anschluss Ihres iPods/iPhones sowie einen HDMI-Anschluss für Camcorder, Digitalkameras und moderne Mediaplayer wie z.B Tablet PCs. Weitere integrierte Funktionen sind die HD Audio Dekodierung mit CINEMA DSP 3D, das Yamaha YPAO Einmesssystem und die SCENE-Tasten zur einfachen und schnellen Bedienung.	"<header>7.1-Kanal AV-Receiver</header>



<body>Unterstützt die 3D-Ära mit 7 HDMI-Anschlüssen, digitaler USB-Port für den Anschluss Ihres iPods/iPhones sowie einen HDMI-Anschluss für Camcorder, Digitalkameras und moderne Mediaplayer wie z.B Tablet PCs</body>



<header>Hohe Klangqualität und Hohe Bildqualität</header>



<body>Kraftvoller 7-Kanal Surround Sound mit je 105 W/Kanal, HD Audioformate: Dolby TrueHD und DTS-HD Master Audio, Dolby Digital Plus und DTS-HD High Resolution Audio, Analog Video-Wandlung und –Skalierung auf Full HD 1080p ,1080p-kompatible HDMI Anschlüsse: 6 Eingänge (1 x an der Front) und 1 Ausgang</body>



<header>Umweltfreundliche Eigenschaften</header>



<body>Einstellbarer Timer, der den Receiver automatisch ausschaltet, Niedriger Stromverbrauch im Standby-Modus von 0,1 W, Niedriger tromverbrauch im HDMI Standby Throughn Modus von 1,2 W</body>"		RX-V 571 SCHWARZ	
1388754 RX-V 471 SCHWARZ	ACTIVE	5.1-Kanal AV-Receiver mit 5 HDMI-Anschlüssen (4 Eingänge/1 Ausgang, 3D und ARC). Am Frontpanel befindet sich ein digitaler USB-Port zum Anschluss des iPods/iPhones. Weitere integrierte Funktionen sind die HD Audio Dekodierung mit CINEMA DSP 3D, das Yamaha YPAO Einmessystem und die SCENE-Tasten zur einfachen und schnellen Bedienung.			RX-V 471 SCHWARZ	
1388751 RX-V 371 SCHWARZ	ACTIVE		"<header>Ein AV-Receiver der Extraklasse zum Einstiegspreis!</header>



<body>1080p-kompatible HDMI-Anschlüsse (4 Eingänge/1 Ausgang) mit 3D-Fähigkeit, ARC (Audio Return Channel), HD Audio mit CINEMA DSP, Yamaha YPAO Einmesssystem und SCENE-Tasten für eine schnelle und einfache Bedienung.</body>"		RX-V 371 SCHWARZ	
1379464 TX-NR 609 B SCHWARZ	ACTIVE	Eigenschaften, die den-TX NR609 zur besten Wahl für einen qualitätsbewussten Heimkinofan machen.			TX-NR 609 B SCHWARZ	
1388759 RX-V 571 TITAN	ACTIVE	Am Frontpanel finden Sie einen digitalen USB-Port für den Anschluss Ihres iPods/iPhones sowie einen HDMI-Anschluss für Camcorder, Digitalkameras und moderne Mediaplayer wie z.B Tablet PCs. Weitere integrierte Funktionen sind die HD Audio Dekodierung mit CINEMA DSP 3D, das Yamaha YPAO Einmesssystem und die SCENE-Tasten zur einfachen und schnellen Bedienung.	"<header>7.1-Kanal AV-Receiver</header>



<body>unterstützt die 3D-Ära mit 7 HDMI-Anschlüssen, digitaler USB-Port für den Anschluss Ihres iPods/iPhones sowie einen HDMI-Anschluss für Camcorder, Digitalkameras und moderne Mediaplayer wie z.B Tablet PCs</body>



<header>Hohe Klangqualität und Hohe Bildqualität</header>



<body>Kraftvoller 7-Kanal Surround Sound mit je 105 W/Kanal, HD Audioformate: Dolby TrueHD und DTS-HD Master Audio, Dolby Digital Plus und DTS-HD High Resolution Audio, Analog Video-Wandlung und –Skalierung auf Full HD 1080p ,1080p-kompatible HDMI Anschlüsse: 6 Eingänge (1 x an der Front) und 1 Ausgang</body>



<header>Umweltfreundliche Eigenschaften</header>



<body>""Einstellbarer Timer, der den Receiver automatisch ausschaltet, Niedriger Stromverbrauch im Standby-Modus von 0,1 W, Niedriger Stromverbrauch im HDMI Standby Through
Modus von 1,2 W""</body>"		RX-V 571 TITAN	
1412676 VSX 921 K SCHWARZ	ACTIVE		<body>Der VSX-921 erfüllt sämtliche Erwartungen an einen AV-Receiver der Spitzenklasse: 7.1-Kanal Surround-Sound in HD und eine digitale Verbindung (ohne Dock) für iPod, iPhone oder iPad. Zusätzlich bietet der Receiver ein einfach zu bedienendes Internetradio mit weltweiten Sendern und Netzwerk-Streaming per DLNA oder Apple AirPlay bei LAN-Verbindung (Adapter für WLAN erhältlich). LPCM, WAV, FLAC und andere verlustfreie Formate werden unterstützt.</body>		VSX 921 K SCHWARZ	
1400830 TX 8050 S SILBER	ACTIVE				TX 8050 S SILBER	
1412694 VSX 521 K SCHWARZ	ACTIVE		"<body>Der AV-Receiver VSX-521 bietet die grundlegenden HD-Heimkinofunktionen und zusätzlich die Möglichkeit, den Klang mittels MCACC entsprechend der Position der Lautsprecher im Raum intelligent abzustimmen. Dadurch sitzen Sie stets im ""Sweet Spot"" für optimalen Klang und können Filme und Spiele noch intensiver erleben. Ein UKW/MW-Tuner ist integriert.</body>"		VSX 521 K SCHWARZ	
1404536 DN-MC 6000	ACTIVE	"Der Professional Digital Mixer & Controller MC6000 MKII von DENON DJ ist der Nachfolge des erfolgreichen
DN-MC6000. Als grundlegend über-abeitete Neuausgabe für zeitgemäße Club- und Mobile - DJs bietet dieses kompakte, aus robustem Stahl gefertigte digitale Mixer/MIDI-Controller-Flaggschiff 4 Kanäle, 8 Quelleneingänge, eine in Echtzeit bedienbare Kanalmatrix und feinste 24-Bit-Auflösung, die in puncto Klangqualität neue Maßstäbe setzt. Die MIDI-Funktionen des MC6000 MKII werden nicht allein durch die im Lieferumfang enthaltene serato DJ™ - Software unterstützt. Entsprechende Mappings von weiteren Anbietern stehen ebenfalls zur Verfügung.
Der MC6000 MKII kann natürlich im Dual-Deck-Betrieb genutzt werden, bietet bei Verwendung von 4 Decks allerdings weitaus kreativere Möglichkeiten. Die ergonomisch optimierte Bedienoberfläche enthält alle Funktionselemente, die man für den Live-Einsatz benötigt: Transportfunktionen, Geschwindig-keitssteuerung, Klangregelung (EQ), Loop-Funktion, Hot-Cue/Sample, Navigationsfunktionen und Effektansteuerung. Die verbesserte Über-sichtlichkeit sorgt damit für streßfreie Performance. DJs können nun auch auf die bekannten Video-Mixing-Features des optional erhältlichen Serato Video-Plug-In zugreifen. Video-Inhalte lassen sich damit genauso wie Audio-Inhalte bearbeiten: programmieren, mixen, Übergangseffekte hinzufügen und sogar Video-Scratching eröffnen kreativen DJs ganz neue Möglichkeiten."	"<body>Der Professional Digital Mixer & Controller MC6000 von DENON DJ ist der Nachfolger des erfolgreichen DN-MC6000. Als grundlegend überabeitete Neuausgabe für zeitgemäße Club- und mobile DJs bietet dieser kompakte, aus robustem Stahl gefertigte digitale Mixer/MIDI-Controller-Flaggschiff 4 Kanäle, 8 Quelleneingänge, eine in Echtzeit bedienbare Kanalmatrix und feinste 24-Bit-Auflösung, die in puncto Klangqualität neue Maßstäbe setzt. Die MIDI-Funktionen des MC6000MK2 werden nicht allein durch die im Lieferumfang enthaltene serato DJ INTRO™ - Software (Upgrademöglichkeit auf serato dj) unterstützt. Entsprechende Mappings von weiteren Anbietern stehen ebenfalls zur Verfügung. Der MC6000MK2 kann natürlich im Dual-Deck-Betrieb genutzt werden, bietet bei Verwendung von 4 Decks allerdings weitaus kreativere Möglichkeiten. Die ergonomisch optimierte Bedienoberfläche enthält alle Funktionselemente, die man für den Live-Einsatz benötigt: Transportfunktionen, Geschwindigkeitssteuerung, Klangregelung (EQ), Loop-Funktion, Hot-Cue/Sample, Navigationsfunktionen und Effektansteuerung. Die verbesserte Übersichtlichkeit sorgt damit für streßfreie Performance. DJs können nun auch auf die bekannten Video-Mixing-Features des optional erhältlichen Serato Video-Plug-In zugreifen. Video-Inhalte lassen sich damit genauso wie Audio-Inhalte bearbeiten: programmieren, mixen, Übergangseffekte hinzufügen und sogar Video-Scratching eröffnen kreativen DJs ganz neue Möglichkeiten.</body>

<body>Ob im Einsatz als DJ Software Controller oder als Digitalmixer, der völlig autonom ohne Rechneranbindung arbeitet: der MC6000MK2 bietet eine Fülle von Anschlußmöglichkeiten, um jeden individuellen Workflow von DJs zu ermöglichen. Neben CD-Playern und Plattenspielern können weitere Audioquellen angeschlossen werden und die über den USB-Port empfangenen Audiosignale können Dank der Quelleneingangsschaltung auf jeden Kanalzug geroutet werden.</body>

<body>Der MC6000MK2 bietet einen “Line 1/2 Thru to PC“ Modus, der die Wiedergabe und Aufnahme von Signalen mit Hilfe eines PC oder Mac erlaubt. Im Vergleich zum DN-MC6000 bringt der MK2 zahlreiche neue Steuerfunktionen an den Start, darunter einen BEATS-Regler für die Tempoeinstellung, einen FX TAP-Taster für die Effektsynchronisation und 8 definierbare Taster für eine ebenso flexible wie kreative Effektsteuerung.</body>

<body>Der MC6000MK2 ist mit zwei symmetrischen Mikrofoneingängen, jeweils mit separatem Echo-Effekt und EQ, ausgestattet. Ob Djs einen Live Radio Gig, eine kleinere House-Party oder die große Festival Bühne spielen: die kompromisslos professionellen symmetrischen und unsymmetrischen Audioausgänge stellen sicher, dass die Klangqualität den höchsten Ansprüchen genügt. Der MC6000MK2 ist ein 100% MIDI-fähiger Controller und daher in der Lage, verschiedene DJ Software Produkte zu steuern und wird nativ von “serato dj“ (Vollversion), “Virtual DJ“ und “MixvibesCross“ unterstützt. Für die Kompatibilität zu Native Instruments Traktor Software stellt DENON DJ Mappings zur Verfügung.</body>

<body>- Premium 4-Kanal Digitalmixer mit 4-Deck Support Controller: Mixer arbeitet auch autonom ohne Rechneranbindung - Eingangsquellen-Matrix: freie Zuordnung der 8 Signalquellen zu den Kanalfadern - Windows® XP/Vista/Win7/Win8 und MAC OS X® 10.6 oder höher-kompatibel - serato dj intro™ – Software im Lieferumfang enthalten - Native Unterstützung durch “serato dj"", “Virtual DJ“ und “MixvibesCross“- Native Instruments Traktor Mapping verfügbar über DENON DJ (siehe unten) - MIDI fähiger Controller: Befehlsliste liegt zur Steuerung weiterer DJ-Anwendungen offen - Line 1/2 Thru to PC Modus für die direkte Aufnahme auf Rechner - 4-Deck Steuerung mit sichtbarer Farbänderung bei Deckwechsel - gleichzeitige Steuerung der Mixer und Controller-Funktionen - bester Klang durch hochauflösende 24bit Audioverarbeitung über integrierte 2 Kanal IN/ 2 Kanal OUT (Stereo) Soundkarte - X-F Link Audio/Video: zuweisbare Cross-Fader-Funktion (für optionales serato Video-Plug-In)- 105mm Jog Wheels hochauflösend, berührungssensitiv - 100mm Pitchfader für exakte Pitchwerteinstellung - hochwertige, besonders präzise Tasten und Drehregler- Push-Button-Regler: schnelles Browsen und Laden von Tracks - 4 + 4 HOT CUE/SAMPLER Tasten, beleuchtet - AUTO LOOP-Taste & Roll-Funktion, Loop +/- Tasten, Loop IN/OUT-Tasten- Censor/Slip Tasten - 3x2 Regler und 3x2 beleuchtete Tasten zur Steuerung der Effektparameter & 2xBeat Push-Button-Regler- CUE/PLAY-Tasten: akkurat ansprechend & beleuchtet - Pitch Bend +/- Taster - Vinyl-Modus/Pitch Bend-Modus umschaltbar- SYNC-Tasten für die Temposynchronisation zweier Decks - KEY LOCK-Taster mit Statusdiode - Filter/Video Drehregler und beleuchtete ON/OFF Tasten - Präzise PFL-Meter zur Kontrolle des Eingangspegels oder Programmsignals - CUE-Taster für jeden Kanalzug, beleuchtet - “Split Cue“-Funktion mit CUE/MASTER PAN-Regler - Kopfhörerverstärker mit hoher Ausgangsleistung - 45mm Kanal- und Cross-Fader mit stufenloser Cross-Fader-Kontur - A-B-Thru-Cross-Fader Schaltung für jeden Kanalzug - 3-Band-Equalizer mit HI/MID/LOW mit “Full Kill” – Funktion - Master Ausgang: symmetrisch (XLR) & unsymmetrich Cinch/RCA - Master Ausgang - Stereo/Mono schaltbar - Booth Ausgang separat regelbar mit Schalter zur Quellenzuweisung - 2 Mikrofoneingänge: 1xCombo (XLR/6,3mm Klinke) und 1x6,3mm Klinke mit -3-Wege EQ (Hi, Mid, Low) für MIC1 & MIC2 - integriertem Echo-Effekt für MIC1 & MIC2 - Ducking Schaltung für MIC1 & MIC2 - Firmwareupdates über USB-Schnittstelle möglich - Kensington Lock™ - Aufnahme zur Diebstahlsicherung - Kompaktes & stabiles Stahlblechgehäuse in bester DENON-Verarbeitungsqualität - 19“ – Rackmontagewinkel RM6000 optional erhältlich</body>"		Professioneller digitaler 4-Kanal Mixer und Controller	
