<Name>	Category Relation Classification Reference	Online Status	Long Description	Long Description MM	Marketing Text MM	Short Description	Short Description MM
1763920 SCD 5405 GR	1165;307	ACTIVE				Radio-Kassettenspieler mit CD	
1766039 RR 510 N WEISS	1165;310	ACTIVE	"Da werden Sie Augen bzw. Ohren machen! Denn das tragbare Stereo-Radio RR 510N-W von Karcher ist sozusagen ein kleiner Alleskönner, wenn es darum geht Ihre Lieblingsmusik abzuspielen. Mit einem FM-Radio mit Senderspeicher, CD/MP3-Player, Kassettendeck, USB-Anschluss und hochwertigen Lautsprecher, mit einer  beeindruckenden Ausgangsleistung von 100 Watt (PMPO), bietet Ihnen das RR 510N-W das volle technische Programm.
Das tragbare CD-Radio RR 510N-W kann sowohl im Netz- als auch im Batteriebetrieb genutzt werden. Mit nur 6 Batterien der Größe C (nicht im Lieferumfang enthalten) wird aus dem kleinen und handlichen Gerät ein portables Radio, das Sie überall mit hin nehmen können, völlig unabhängig davon ob eine Steckdose in Reichweite ist. Dank der Stereo-Lautsprecher mit einer Ausgangsleistung von 100 Watt (PMPO) können Sie bei Ihrem nächsten Picknick oder Grillabend mit Freunden für die richtige musikalische Untermalung sorgen, ohne dabei qualitativ Abstriche machen zu müssen.
"	"Da werden Sie Augen bzw. Ohren machen! Denn das tragbare Stereo-Radio RR 510N-W von Karcher ist sozusagen ein kleiner Alleskönner, wenn es darum geht Ihre Lieblingsmusik abzuspielen. Mit einem FM-Radio mit Senderspeicher, CD/MP3-Player, Kassettendeck, USB-Anschluss und hochwertigen Lautsprecher, mit einer  beeindruckenden Ausgangsleistung von 100 Watt (PMPO), bietet Ihnen das RR 510N-W das volle technische Programm.
Das tragbare CD-Radio RR 510N-W kann sowohl im Netz- als auch im Batteriebetrieb genutzt werden. Mit nur 6 Batterien der Größe C (nicht im Lieferumfang enthalten) wird aus dem kleinen und handlichen Gerät ein portables Radio, das Sie überall mit hin nehmen können, völlig unabhängig davon ob eine Steckdose in Reichweite ist. Dank der Stereo-Lautsprecher mit einer Ausgangsleistung von 100 Watt (PMPO) können Sie bei Ihrem nächsten Picknick oder Grillabend mit Freunden für die richtige musikalische Untermalung sorgen, ohne dabei qualitativ Abstriche machen zu müssen.
"		Das Karcher CD-Radio RR 510N-W ist trendy, chic und frech, kurz ein echter Hingucker!	
1766038 RR 510 N SILBER	1165;307	ACTIVE		"Da werden Sie Augen bzw. Ohren machen! Denn das tragbare Stereo-Radio RR 510N von Karcher ist sozusagen ein kleiner Alleskönner, wenn es darum geht Ihre Lieblingsmusik abzuspielen. Mit einem FM-Radio mit Senderspeicher, CD/MP3-Player, Kassettendeck, USB-Anschluss und hochwertigen Lautsprecher, mit einer  beeindruckenden Ausgangsleistung von 100 Watt (PMPO), bietet Ihnen das RR 510N das volle technische Programm.
Das tragbare CD-Radio RR 510N kann sowohl im Netz- als auch im Batteriebetrieb genutzt werden. Mit nur 6 Batterien der Größe C (nicht im Lieferumfang enthalten) wird aus dem kleinen und handlichen Gerät ein portables Radio, das Sie überall mit hin nehmen können, völlig unabhängig davon ob eine Steckdose in Reichweite ist. Dank der Stereo-Lautsprecher mit einer Ausgangsleistung von 100 Watt (PMPO) können Sie bei Ihrem nächsten Picknick oder Grillabend mit Freunden für die richtige musikalische Untermalung sorgen, ohne dabei qualitativ Abstriche machen zu müssen. "		RR 510 N SILBER	
1766628 CD 52 DOGS	1165;310;307;1166;2586	ACTIVE				CD 52 DOGS	
1766625 CD 52 CATS	1165;310;307;1166	ACTIVE				CD 52 CATS	
1766633 CD 52 BIRDS	1165;310;307;1166;2586	ACTIVE				CD 52 BIRDS	
1772542 RCD 102 PL DISNEY PLANES	1165;310	ACTIVE				RCD 102PL DISNEY PLANES	
1778210 M 21 RS SILBER	307;1165	ACTIVE				M 21 RS SILBER	
1778957 SR 4356 WEISS-ANTHRAZIT	1165;307	ACTIVE				SR 4356 WEISS-ANTHRAZIT	
1780368 CFD-S 50 W WEISS	1165;307	ACTIVE		"<header>Leicht zu bedienender, tragbarer CD-Radiorecorder für Musikwiedergabe in jedem Format</header>
<body>Genießen Sie Musik von CDs, Kassetten, Digital Media Player (Audio-Eingang) und Radio. Kasssettendeck mit Aufnahmefunktionen. Nehmen Sie das kompakte Radio einfach überall hin mit.</body>"		CFD-S 50 W WEISS	
1780367 CFD-S 50 B SCHWARZ	1165;307	ACTIVE				CFD-S 50 B SCHWARZ	
1788154 AZ 105 S/12	307;1165	ACTIVE				Freuen Sie sich über den hohen Bedienkomfort. Mit der kompakten und tragbaren Philips CD-Soundmachine können Sie Ihre Lieblingsmusik mit einfachen Bedienfunktionen  genießen.	
1789149 RD 302 B SILBER	1165;307	ACTIVE				RD 302 B SILBER	
1789147 M 29 RD	307;1165	ACTIVE				M 29 RD	
1791509 CD 47 BLAU	310;1165;1150;2586	ACTIVE				Stereo-CD-Player mit Mitsing-/Megafonfunktion für zwei Mikrofone	
1792152 SR 4357 WEISS	1165;307	ACTIVE				SR 4357 WEISS	
1792151 SR 4357 SCHWARZ	1165;307	ACTIVE				SR 4357 SCHWARZ	
1792428 MRP 161	307;1165	ACTIVE				Musikanlage mit Plattenspieler und CD-Player	
1793723 RCD 102 MH MONSTER HIGH	1165;307;310	ACTIVE				RCD 102 MH MONSTER HIGH	
1793744 SR 4351 ROT	1165;307	ACTIVE				SR 4351 ROT	
1796583 CD 43	301;310;307;1166;1165	ACTIVE				Tragbares CD-Radio mit Docking Station für iPhone (30Pin-Anschluss)	
1798849 TCU 205 WHITE BOOMBOX	307;1165	ACTIVE				Boombox mit Toploading CD-Player und USB-Anschluss	
1798847 TCU 205 BLACK BOOMBOX	307;1165	ACTIVE				Boombox mit Toploading CD-Player und USB-Anschluss	
1798850 TCU 205 RED BOOMBOX	307;1165	ACTIVE				Boombox mit Toploading CD-Player und USB-Anschluss	
1798846 TCU 205 PINK BOOMBOX	307;1165	ACTIVE				Boombox mit Toploading CD-Player und USB-Anschluss	
1801903 RCD 1445 USB AQUA/SILBER	1165;307	ACTIVE				RCD 1445 USB AQUA/SILBER	
1801902 RCD 1445 USB GELB/SCHWARZ	1165;307	ACTIVE				RCD 1445 USB GELB/SCHWARZ	
1801904 RCD 1445 USB PURPLE/SILBER	1165;307	ACTIVE				RCD 1445 USB PURPLE/SILBER	
1803084 BB 300 B SCHWARZ	307;1165	ACTIVE	Neben einem integrierten AM-FM-Radio und CD- sowie MP3-Player verfügt das moderne tragbare Stereo-CD-Radio über einen AUX-Eingang für den Anschluss weiterer Audiogeräte, wie beispielsweise Ihrem MP3-Player, Smartphone oder Tablet. Neben der umfangreichen Ausstattung besticht das BB 300-B von Schaub Lorenz durch ein modernes Design sowie eine schlichte Eleganz und wird so zu einem echten Hingucker und schicken Accessoire, dass sich nahtlos in jede Wohnungseinrichtung einfügt. Aber nicht nur die äußeren Werte zählen - das kompakte Stereo-Radio überzeugt zudem durch einen Top-Sound, den es seinen zwei integrierten Lautsprechern zu verdanken hat, die mit einer Ausgangsleistung von 30 Watt (PMPO) satte und klare Töne liefern.	<body>Neben einem integrierten AM-FM-Radio und CD- sowie MP3-Player verfügt das moderne tragbare Stereo-CD-Radio über einen AUX-Eingang für den Anschluss weiterer Audiogeräte, wie beispielsweise Ihrem MP3-Player, Smartphone oder Tablet. Neben der umfangreichen Ausstattung besticht das BB 300-C von Schaub Lorenz durch ein modernes Design sowie eine schlichte Eleganz und wird so zu einem echten Hingucker und schicken Accessoire, dass sich nahtlos in jede Wohnungseinrichtung einfügt. Aber nicht nur die äußeren Werte zählen - das kompakte Stereo-Radio überzeugt zudem durch einen Top-Sound, den es seinen zwei integrierten Lautsprechern zu verdanken hat, die mit einer Ausgangsleistung von 30 Watt (PMPO) satte und klare Töne liefern.</body>		Da werden Sie Augen und Ohren machen! Denn das tragbare CD-Radio BB 300-B überzeugt durch eine umfangreiche Ausstattung, tollen Sound und zahlreiche Features.	
1803087 BB 300 C BLAU	307;1165	ACTIVE	Neben einem integrierten AM-FM-Radio und CD- sowie MP3-Player verfügt das moderne tragbare Stereo-CD-Radio über einen AUX-Eingang für den Anschluss weiterer Audiogeräte, wie beispielsweise Ihrem MP3-Player, Smartphone oder Tablet. Neben der umfangreichen Ausstattung besticht das BB 300-C von Schaub Lorenz durch ein modernes Design sowie eine schlichte Eleganz und wird so zu einem echten Hingucker und schicken Accessoire, dass sich nahtlos in jede Wohnungseinrichtung einfügt. Aber nicht nur die äußeren Werte zählen - das kompakte Stereo-Radio überzeugt zudem durch einen Top-Sound, den es seinen zwei integrierten Lautsprechern zu verdanken hat, die mit einer Ausgangsleistung von 30 Watt (PMPO) satte und klare Töne liefern.	<body>Neben einem integrierten AM-FM-Radio und CD- sowie MP3-Player verfügt das moderne tragbare Stereo-CD-Radio über einen AUX-Eingang für den Anschluss weiterer Audiogeräte, wie beispielsweise Ihrem MP3-Player, Smartphone oder Tablet. Neben der umfangreichen Ausstattung besticht das BB 300-C von Schaub Lorenz durch ein modernes Design sowie eine schlichte Eleganz und wird so zu einem echten Hingucker und schicken Accessoire, dass sich nahtlos in jede Wohnungseinrichtung einfügt. Aber nicht nur die äußeren Werte zählen - das kompakte Stereo-Radio überzeugt zudem durch einen Top-Sound, den es seinen zwei integrierten Lautsprechern zu verdanken hat, die mit einer Ausgangsleistung von 30 Watt (PMPO) satte und klare Töne liefern.</body>		Da werden Sie Augen und Ohren machen! Denn das tragbare CD-Radio BB 300-C überzeugt durch eine umfangreiche Ausstattung, tollen Sound und zahlreiche Features.	
1803098 BB 300 S SILBER	307;1165	ACTIVE	Neben einem integrierten AM-FM-Radio und CD- sowie MP3-Player verfügt das moderne tragbare Stereo-CD-Radio über einen AUX-Eingang für den Anschluss weiterer Audiogeräte, wie beispielsweise Ihrem MP3-Player, Smartphone oder Tablet. Neben der umfangreichen Ausstattung besticht das BB 300-S von Schaub Lorenz durch ein modernes Design sowie eine schlichte Eleganz und wird so zu einem echten Hingucker und schicken Accessoire, dass sich nahtlos in jede Wohnungseinrichtung einfügt. Aber nicht nur die äußeren Werte zählen - das kompakte Stereo-Radio überzeugt zudem durch einen Top-Sound, den es seinen zwei integrierten Lautsprechern zu verdanken hat, die mit einer Ausgangsleistung von 30 Watt (PMPO) satte und klare Töne liefern.	<body>Neben einem integrierten AM-FM-Radio und CD- sowie MP3-Player verfügt das moderne tragbare Stereo-CD-Radio über einen AUX-Eingang für den Anschluss weiterer Audiogeräte, wie beispielsweise Ihrem MP3-Player, Smartphone oder Tablet. Neben der umfangreichen Ausstattung besticht das BB 300-C von Schaub Lorenz durch ein modernes Design sowie eine schlichte Eleganz und wird so zu einem echten Hingucker und schicken Accessoire, dass sich nahtlos in jede Wohnungseinrichtung einfügt. Aber nicht nur die äußeren Werte zählen - das kompakte Stereo-Radio überzeugt zudem durch einen Top-Sound, den es seinen zwei integrierten Lautsprechern zu verdanken hat, die mit einer Ausgangsleistung von 30 Watt (PMPO) satte und klare Töne liefern.</body>		Da werden Sie Augen und Ohren machen! Denn das tragbare CD-Radio BB 300-S überzeugt durch eine umfangreiche Ausstattung, tollen Sound und zahlreiche Features.	
1803455 TCU 60 RED/SILVER	307;1165	ACTIVE				TCU 60 RED/SILVER	
1803456 TCU 61 BLACK/SILVER	307;1165	ACTIVE				Boombox mit Toploading CD-Player und USB-Anschluss für MP3-Wiedergabe	
1803453 TCU 60 BLACK/SILVER	307;1165	ACTIVE				Boombox mit Toploading CD-Player und USB-Anschluss für MP3-Wiedergabe	
1803458 TCU 61 RED/SILVER	307;1165	ACTIVE				Boombox mit Toploading CD-Player und USB-Anschluss für MP3-Wiedergabe	
1803457 TCU 61 PINK/SILVER	307;1165	ACTIVE				Boombox mit Toploading CD-Player und USB-Anschluss für MP3-Wiedergabe	
1810446 SCD 5350 SI	307;310;1166;1165;303	ACTIVE				Radiokassettenrecorder mit externem Mikrofon	
1810442 RCD 5000 SW	307;310;1166;1165	ACTIVE				RCD 5000 SW	
1810447 SCD 5350 RO	307;310;1166;1165;303	ACTIVE				Radiokassettenrecorder mit externem Mikrofon	
1822950 AZ 1/12	1165;307;8022	ACTIVE		Mit der AZ1 haben Sie diverse Möglichkeiten: Streamen Sie Musik kabellos über Bluetooth von jedem Smartphone, koppeln Sie Ihr Endgerät via NFC oder geben Sie MP3-CDs, CDs und CD-R/RWs. Über USB können Sie außerdem iPod, iPhone und iPad laden, während Sie Musik von dem jeweiligen wiedergeben. Zusätzlich verfügt der AZ1 über einen digitalen UKW-Tuner mit Programmspeicher und einen Mikrofon- und Gitarreneingang mit Lautstärkeregelung. Für örtliche Flexibilität kommt der AZ1 mit Trageriemen und einem robusten Design daher und läuft auch mit AC- sowie D-Zellen-Batteriebetrieb. Wenn es mal etwas lauter sein darf, ist der AZ1 mit 40W RMS und MAX Sound für sofortige Leistungssteigerung der ideale Begleiter. Die koaxialen Lautsprecher liefern dabei einen natürlichen und kristallklaren Sound, während die digitale Sound-Kontrolle die Qualität abhängig von der Musikrichtung optimiert. Dank One-Touch-NFC-Kopplung war die kabellose Musikübertragung über Bluetooth noch nie so einfach. Schließen Sie ein Mikrofon oder eine Gitarre an, und starten Sie Ihre eigene Jam Session.		AZ 1/12	
1824740 RV-NB 85 S SILBER	307;1165	ACTIVE		"<header>RV-NB85</header>

<body>Tragbares CD-System mit zwei aktiven Super-Tieftönern für satten Sound und abgrundtiefe Bässe, Lightning Dock für iPod®/iPhone®, Bluetooth®, FM-Tuner, USB-Aufnahme von selbst gemixten Musiktracks und Mikrofon/Gitarren-Eingänge mit integriertem Verzerrer für Soundeffekte.</body>"		RV-NB 85 S SILBER	
1824741 RV-NB 100 BE 6 SCHWARZ	307;1165	ACTIVE		"<header>Produktbeschreibung </header>

<body>Tragbares CD-System mit zwei aktiven Super-Tieftönern für satten Sound und abgrundtiefe Bässe, Lightning Dock für iPod®/iPhone®, Bluetooth®, DAB+-Tuner, USB-Aufnahme von selbst gemixten Musiktracks und Mikrofon/Gitarren-Eingänge mit integriertem Verzerrer für Soundeffekte.</body>"		RV-NB 100 BE 6 SCHWARZ.	
1826217 RCD 1445 USB GRÜN/SCHWARZ	1165;307	ACTIVE				RCD 1445 USB GRÜN/SCHWARZ	
1836584 M 28 US	1165;307	ACTIVE				M 28 US	
1836586 M 28 VF	1165;307	ACTIVE				M 028 VF	
1837126 SL-D 930 SILBER	1165;788	ACTIVE		"<header>Drahtlose Musikwiedergabe von Smartphones und Tablets via Bluetooth</header>
Mit dem SL-D930 können Sie Musikdateien per Bluetooth-Verbindung drahtlos von Ihrem Smartphone oder Tablet wiedergeben. So können Sie den überragenden Klang nicht nur auf dem Weg genießen, sondern auch daheim. Der Lautsprecher kann bis zu acht Bluetooth-Geräte speichern und per Pairing-Funktion eine drahtlose Verbindung zu jeweils einem Gerät aufbauen. Nachdem Sie Ihr Smartphone oder Tablet einmal mit dem SL-D930 gekoppelt haben, können Sie die Verbindung auf Tastendruck herstellen. 

<header>Der CD-Player unterstützt MP3-/WMA-Dateien auf CD-R/RW sowie herkömmliche Audio-CDs.</header>
Außerdem bietet das SL-D930 auf der Geräteoberseite einen CD-Player, der herkömmliche Audio-CDs genauso abspielt wie MP3-/WMA-Formate auf CD-R/RW. Zudem sind verschiedene Wiedergabemodi verfügbar: Programm (bis zu 32 Titel), Wiederholung (1/Alle – bei CD, 1/Alle/Ordner – bei MP3/WMA), Zufall und Intro. Bei MP3-/WMA-Dateien lassen sich auf dem LC-Display Informationen wie die Namen von Titel, Künstler und Album anzeigen.

<header>Im gefragten Retro-Design</header>
Das Design des SL-D930 wurde von den klassischen amerikanischen Autos der 1950er Jahre inspiriert – durch ihre Stromlinienform und ihre glänzenden Chromteile. Das SL-D930 passt hervorragend zu moderner Einrichtung und wird sicherlich Blicke auf sich ziehen. Das Gerät ist in vier Farben erhältlich: rot, schwarz, weiß und silber. Die eigenständige Fernbedienung harmoniert mit der Optik des Hauptgeräts und bietet farbige Tasten für häufig genutzte Funktionen wie Bluetooth Pairing und Einschlaf-Timer. Außerdem können Sie die Lautstärke einstellen und zwischen CD- und Radiobetrieb wählen."		SL-D 930 SILBER	
1837127 SL-D 930 ROT	1165;788	ACTIVE		"<header>Drahtlose Musikwiedergabe von Smartphones und Tablets via Bluetooth</header>
Mit dem SL-D930 können Sie Musikdateien per Bluetooth-Verbindung drahtlos von Ihrem Smartphone oder Tablet wiedergeben. So können Sie den überragenden Klang nicht nur auf dem Weg genießen, sondern auch daheim. Der Lautsprecher kann bis zu acht Bluetooth-Geräte speichern und per Pairing-Funktion eine drahtlose Verbindung zu jeweils einem Gerät aufbauen. Nachdem Sie Ihr Smartphone oder Tablet einmal mit dem SL-D930 gekoppelt haben, können Sie die Verbindung auf Tastendruck herstellen. 

<header>Der CD-Player unterstützt MP3-/WMA-Dateien auf CD-R/RW sowie herkömmliche Audio-CDs.</header>
Außerdem bietet das SL-D930 auf der Geräteoberseite einen CD-Player, der herkömmliche Audio-CDs genauso abspielt wie MP3-/WMA-Formate auf CD-R/RW. Zudem sind verschiedene Wiedergabemodi verfügbar: Programm (bis zu 32 Titel), Wiederholung (1/Alle – bei CD, 1/Alle/Ordner – bei MP3/WMA), Zufall und Intro. Bei MP3-/WMA-Dateien lassen sich auf dem LC-Display Informationen wie die Namen von Titel, Künstler und Album anzeigen.

<header>Im gefragten Retro-Design</header>
Das Design des SL-D930 wurde von den klassischen amerikanischen Autos der 1950er Jahre inspiriert – durch ihre Stromlinienform und ihre glänzenden Chromteile. Das SL-D930 passt hervorragend zu moderner Einrichtung und wird sicherlich Blicke auf sich ziehen. Das Gerät ist in vier Farben erhältlich: rot, schwarz, weiß und silber. Die eigenständige Fernbedienung harmoniert mit der Optik des Hauptgeräts und bietet farbige Tasten für häufig genutzte Funktionen wie Bluetooth Pairing und Einschlaf-Timer. Außerdem können Sie die Lautstärke einstellen und zwischen CD- und Radiobetrieb wählen."		SL-D 930 WEISS	
1837128 SL-D 930 WEISS	1165;788	ACTIVE		"<header>Drahtlose Musikwiedergabe von Smartphones und Tablets via Bluetooth</header>
Mit dem SL-D930 können Sie Musikdateien per Bluetooth-Verbindung drahtlos von Ihrem Smartphone oder Tablet wiedergeben. So können Sie den überragenden Klang nicht nur auf dem Weg genießen, sondern auch daheim. Der Lautsprecher kann bis zu acht Bluetooth-Geräte speichern und per Pairing-Funktion eine drahtlose Verbindung zu jeweils einem Gerät aufbauen. Nachdem Sie Ihr Smartphone oder Tablet einmal mit dem SL-D930 gekoppelt haben, können Sie die Verbindung auf Tastendruck herstellen. 

<header>Der CD-Player unterstützt MP3-/WMA-Dateien auf CD-R/RW sowie herkömmliche Audio-CDs.</header>
Außerdem bietet das SL-D930 auf der Geräteoberseite einen CD-Player, der herkömmliche Audio-CDs genauso abspielt wie MP3-/WMA-Formate auf CD-R/RW. Zudem sind verschiedene Wiedergabemodi verfügbar: Programm (bis zu 32 Titel), Wiederholung (1/Alle – bei CD, 1/Alle/Ordner – bei MP3/WMA), Zufall und Intro. Bei MP3-/WMA-Dateien lassen sich auf dem LC-Display Informationen wie die Namen von Titel, Künstler und Album anzeigen.

<header>Im gefragten Retro-Design</header>
Das Design des SL-D930 wurde von den klassischen amerikanischen Autos der 1950er Jahre inspiriert – durch ihre Stromlinienform und ihre glänzenden Chromteile. Das SL-D930 passt hervorragend zu moderner Einrichtung und wird sicherlich Blicke auf sich ziehen. Das Gerät ist in vier Farben erhältlich: rot, schwarz, weiß und silber. Die eigenständige Fernbedienung harmoniert mit der Optik des Hauptgeräts und bietet farbige Tasten für häufig genutzte Funktionen wie Bluetooth Pairing und Einschlaf-Timer. Außerdem können Sie die Lautstärke einstellen und zwischen CD- und Radiobetrieb wählen."		SL-D 930 WEISS	
1837124 SL-D 930 SCHWARZ	1165;788	ACTIVE		"<header>Drahtlose Musikwiedergabe von Smartphones und Tablets via Bluetooth</header>
Mit dem SL-D930 können Sie Musikdateien per Bluetooth-Verbindung drahtlos von Ihrem Smartphone oder Tablet wiedergeben. So können Sie den überragenden Klang nicht nur auf dem Weg genießen, sondern auch daheim. Der Lautsprecher kann bis zu acht Bluetooth-Geräte speichern und per Pairing-Funktion eine drahtlose Verbindung zu jeweils einem Gerät aufbauen. Nachdem Sie Ihr Smartphone oder Tablet einmal mit dem SL-D930 gekoppelt haben, können Sie die Verbindung auf Tastendruck herstellen. 

<header>Der CD-Player unterstützt MP3-/WMA-Dateien auf CD-R/RW sowie herkömmliche Audio-CDs.</header>
Außerdem bietet das SL-D930 auf der Geräteoberseite einen CD-Player, der herkömmliche Audio-CDs genauso abspielt wie MP3-/WMA-Formate auf CD-R/RW. Zudem sind verschiedene Wiedergabemodi verfügbar: Programm (bis zu 32 Titel), Wiederholung (1/Alle – bei CD, 1/Alle/Ordner – bei MP3/WMA), Zufall und Intro. Bei MP3-/WMA-Dateien lassen sich auf dem LC-Display Informationen wie die Namen von Titel, Künstler und Album anzeigen.

<header>Im gefragten Retro-Design</header>
Das Design des SL-D930 wurde von den klassischen amerikanischen Autos der 1950er Jahre inspiriert – durch ihre Stromlinienform und ihre glänzenden Chromteile. Das SL-D930 passt hervorragend zu moderner Einrichtung und wird sicherlich Blicke auf sich ziehen. Das Gerät ist in vier Farben erhältlich: rot, schwarz, weiß und silber. Die eigenständige Fernbedienung harmoniert mit der Optik des Hauptgeräts und bietet farbige Tasten für häufig genutzte Funktionen wie Bluetooth Pairing und Einschlaf-Timer. Außerdem können Sie die Lautstärke einstellen und zwischen CD- und Radiobetrieb wählen."		SL-D 930 SCHWARZ	
